dataset,pair,metric,winner,margin,n_distinct_winners
wmt24pp,en-de_DE,bleu,hy-mt2-1.8b,2.212,2
wmt24pp,en-de_DE,chrf++,hy-mt2-1.8b,1.926,2
wmt24pp,en-de_DE,comet22,translategemma-4b,0.031,2
wmt24pp,en-de_DE,script_purity,translategemma-4b,6.25,2
wmt24pp,en-de_DE,ter,hy-mt2-1.8b,2.32,2
wmt24pp,en-es_MX,bleu,hy-mt2-1.8b,5.936,2
wmt24pp,en-es_MX,chrf++,hy-mt2-1.8b,3.732,2
wmt24pp,en-es_MX,comet22,translategemma-4b,0.003,2
wmt24pp,en-es_MX,script_purity,translategemma-4b,6.146,2
wmt24pp,en-es_MX,ter,hy-mt2-1.8b,6.975,2
wmt24pp,es_MX-en,bleu,hy-mt2-1.8b,2.971,2
wmt24pp,es_MX-en,chrf++,hy-mt2-1.8b,1.604,2
wmt24pp,es_MX-en,comet22,hy-mt2-1.8b,0.002,2
wmt24pp,es_MX-en,script_purity,translategemma-4b,4.167,2
wmt24pp,es_MX-en,ter,hy-mt2-1.8b,3.414,2
wmt25,en-ja_JP,bleu,hy-mt2-1.8b,0.589,1
wmt25,en-ja_JP,chrf++,hy-mt2-1.8b,1.232,1
wmt25,en-ja_JP,comet22,hy-mt2-1.8b,0.017,1
wmt25,en-ja_JP,script_purity,hy-mt2-1.8b,0.0,1
wmt25,en-ja_JP,ter,hy-mt2-1.8b,3.162,1
